TourID,ClientID,Hotel rating,Beach rating,Transportation rating,Overall,Recommendation
1,468,1.4,1.1,2.0,1.3,0
1,205,1.3,1.0,4.6,2.1,0
12,137,1.3,1.9,2.5,1.9,0
12,139,0.6,0.0,3.4,1.1,0
23,96,0.5,0.5,3.2,1.8,0
23,98,2.0,2.7,0.4,1.5,0
1,469,1.5,1.2,0.4,0.6,0
16,443,0.8,0.6,4.9,2.3,0
20,682,1.5,0.5,1.4,1.6,0
20,683,2.2,2.5,1.3,1.7,0
7,356,3.4,2.6,4.2,3.4,1
12,138,0.6,1.0,0.7,0.5,0
20,684,2.4,2.6,1.0,1.8,0
12,140,1.5,1.1,4.0,2.0,0
23,97,1.8,2.4,1.1,1.5,0
1,466,2.8,2.8,2.5,3.2,1
1,471,2.6,1.9,4.7,3.3,1
1,470,1.6,2.5,1.0,2.0,0
16,588,0.2,0.0,3.5,0.8,0
16,442,0.7,1.5,1.5,1.4,0
16,439,1.3,0.6,0.9,1.4,0
7,410,2.8,3.3,2.1,2.8,1
7,323,3.5,3.5,2.1,3.3,0
7,327,2.8,2.3,0.3,1.6,0
12,141,0.8,1.2,3.7,2.0,0
7,429,2.0,1.7,2.3,1.8,0
23,99,0.9,1.6,2.5,2.2,1
1,472,1.7,1.5,0.8,1.6,0
23,100,1.7,1.6,0.8,1.5,0
16,590,0.6,0.3,4.4,2.0,0
16,591,0.1,0.1,1.3,0.4,0
16,592,1.7,2.6,0.5,1.6,0
16,593,0.1,0.6,3.3,1.4,0
12,110,1.3,2.1,4.2,2.9,0
23,8,0.4,0.9,2.0,0.9,0
20,418,2.1,1.8,3.6,2.2,0
23,19,1.5,0.7,3.2,1.9,0
20,368,1.2,1.9,2.8,1.7,0
23,104,1.7,2.5,4.0,2.8,1
20,405,2.0,1.5,1.2,1.6,0
23,105,0.5,0.8,0.7,0.6,0
23,106,0.9,0.0,0.4,0.0,0
20,369,1.2,1.4,3.2,1.9,0
20,686,1.7,2.7,2.8,2.5,0
20,687,1.7,2.4,1.0,2.0,0
20,688,1.2,0.6,1.5,0.7,1
3,922,3.5,3.5,4.1,4.0,1
3,923,3.8,3.7,1.6,3.0,1
3,924,2.6,2.9,1.7,2.6,1
3,926,2.9,2.2,4.7,3.1,1
50,442,0.9,1.3,3.7,2.1,0
51,100,2.5,2.5,0.4,1.6,0
50,439,0.6,1.2,0.2,0.9,0
51,8,1.2,0.8,4.0,1.7,0
50,590,1.9,1.7,0.2,1.6,0
51,19,2.4,1.8,2.2,2.3,0
3,925,3.9,4.0,2.6,3.2,1
3,927,2.0,1.3,4.3,2.1,0
3,929,2.1,2.5,0.8,2.3,0
50,591,0.9,0.8,2.6,1.6,0
50,592,0.2,0.3,3.3,1.1,0
51,104,1.3,2.1,3.8,2.0,0
50,593,1.5,1.6,0.3,0.7,0
51,105,2.0,2.9,3.7,2.6,1
52,874,4.5,4.7,4.4,5.0,1
52,873,4.3,4.9,3.9,4.7,1
53,129,3.7,4.0,3.5,4.1,1
53,486,3.7,4.6,1.5,3.2,1
50,594,1.6,1.2,3.5,2.5,0
51,106,2.2,1.5,1.8,2.3,0
50,595,0.1,0.5,4.5,2.0,0
50,596,0.1,1.0,1.8,0.9,0
52,569,4.6,3.9,3.8,4.6,0
52,875,4.2,4.5,2.2,3.4,1
52,877,4.0,3.2,2.9,3.8,0
53,484,3.5,4.2,2.6,3.6,1
51,28,2.1,1.3,0.3,1.3,0
51,108,2.4,2.0,4.2,2.9,1
54,20,5.0,5.0,3.7,4.2,1
54,1,5.0,5.0,0.3,3.5,1
53,489,3.6,2.6,2.1,2.4,0
53,490,3.5,3.5,0.8,2.4,0
52,876,3.1,2.5,1.3,2.0,0
53,491,2.8,3.7,0.6,2.2,1
52,878,4.0,3.1,1.6,2.7,1
53,487,3.3,4.3,1.7,3.0,1
52,879,4.3,3.6,4.0,4.4,1
52,880,4.8,4.6,4.0,4.4,1
54,155,4.4,4.8,3.6,4.2,0
54,3,5.0,5.0,1.0,4.0,1
54,12,5.0,5.0,3.0,3.9,1
54,23,5.0,5.0,3.5,4.0,1
54,158,4.9,5.0,1.6,4.1,1
55,260,4.5,4.0,0.1,2.8,1
56,93,2.4,2.6,3.1,2.5,1
55,259,5.0,5.0,3.7,4.1,1
55,372,4.6,5.0,4.8,4.4,1
57,293,1.5,0.9,2.4,1.9,0
56,95,2.5,3.4,1.3,1.9,0
57,345,1.8,2.1,3.0,2.3,0
57,346,1.2,2.1,3.0,2.0,0
